Date,Action,Ticker
2025-07-28,Added,TRI
2025-07-17,Removed,ANSS
2025-05-19,Added,SHOP
2025-05-19,Removed,MDB
2024-12-23,Added,PLTR
2024-12-23,Removed,ILMN
2024-12-23,Added,MSTR
2024-12-23,Removed,MRNA
2024-12-23,Added,AXON
2024-12-23,Removed,SMCI
2024-11-18,Added,APP
2024-11-18,Removed,DLTR
2024-07-22,Removed,WBA
2024-07-22,Added,SMCI
2024-06-24,Added,ARM
2024-06-24,Removed,SIRI
2024-03-18,Added,LIN
2024-03-18,Removed,SPLK
2023-12-18,Added,MDB
2023-12-18,Removed,ZM
2023-12-18,Added,SPLK
2023-12-18,Removed,LCID
2023-12-18,Added,ROP
2023-12-18,Removed,JD
2023-12-18,Added,DASH
2023-12-18,Removed,ENPH
2023-12-18,Removed,EBAY
2023-12-18,Added,CCEP
2023-12-18,Removed,ALGN
2023-12-18,Added,CDW
2023-12-14,Added,TTWO
2023-12-14,Removed,SGEN
2023-07-17,Added,TTD
2023-07-17,Removed,ATVI
2023-06-20,Removed,RIVN
2023-06-20,Added,ON
2023-06-07,Added,GEHC
2023-06-07,Removed,FI
2022-12-19,Removed,DOCU
2022-12-19,Added,FANG
2022-12-19,Removed,MTCH
2022-12-19,Added,BKR
2022-12-19,Removed,SPLK
2022-12-19,Added,GFS
2022-12-19,Removed,BIDU
2022-12-19,Added,WBD
2022-12-19,Removed,NTES
2022-12-19,Removed,SWKS
2022-12-19,Added,RIVN
2022-12-19,Removed,VRSN
2022-12-19,Added,CSGP
2022-11-21,Added,ENPH
2022-11-21,Removed,OKTA
2022-02-22,Removed,XLNX
2022-02-22,Added,AZN
2022-02-02,Added,CEG
2022-01-24,Added,ODFL
2022-01-24,Removed,PTON
2021-12-20,Removed,CERN
2021-12-20,Removed,INCY
2021-12-20,Added,DDOG
2021-12-20,Added,ZS
2021-12-20,Removed,CHKP
2021-12-20,Added,LCID
2021-12-20,Removed,TCOM
2021-12-20,Added,PANW
2021-12-20,Removed,FOXA
2021-12-20,Added,FTNT
2021-12-20,Removed,CDW
2021-12-20,Added,ABNB
2021-12-20,Removed,FOX
2021-08-26,Added,CRWD
2021-08-26,Removed,MXIM
2021-07-21,Added,HON
2021-07-21,Removed,ALXN
2020-12-21,Removed,LBTYA
2020-12-21,Removed,ULTA
2020-12-21,Added,TEAM
2020-12-21,Removed,TTWO
2020-12-21,Added,PTON
2020-12-21,Removed,LBTYK
2020-12-21,Removed,CTXS
2020-12-21,Added,OKTA
2020-12-21,Removed,EXPE
2020-12-21,Added,MTCH
2020-12-21,Added,MRVL
2020-12-21,Removed,BMRN
2020-12-21,Added,AEP
2020-10-19,Added,KDP
2020-10-19,Removed,WDC
2020-08-24,Added,PDD
2020-08-24,Removed,NTAP
2020-07-20,Removed,CSGP
2020-07-20,Added,MRNA
2020-06-22,Removed,UAL
2020-06-22,Added,DOCU
2020-04-30,Added,ZM
2020-04-30,Removed,WTW
2020-04-20,Added,DXCM
2020-04-20,Removed,AAL
2019-12-23,Removed,WYNN
2019-12-23,Added,SPLK
2019-12-23,Removed,NLOK
2019-12-23,Added,SGEN
2019-12-23,Removed,MYL
2019-12-23,Added,CSGP
2019-12-23,Added,CPRT
2019-12-23,Removed,HSIC
2019-12-23,Added,CDW
2019-12-23,Removed,HAS
2019-12-23,Added,ANSS
2019-12-23,Removed,JBHT
2019-11-21,Added,EXC
2019-11-21,Removed,CELG
2019-03-19,Added,TCFCB
2019-03-19,Removed,FOX
2019-03-19,Removed,FOXA
2019-03-19,Added,TCFCA
